@relation 'training_keyboard-weka.filters.unsupervised.attribute.Remove-R8-19,29,31,33-35-weka.filters.supervised.attribute.Discretize-Rfirst-last-precision6-weka.filters.unsupervised.attribute.Remove-R1-7-weka.filters.unsupervised.attribute.Remove-R10'

@attribute nearestGhostUp {True,False}
@attribute nearestGhostDown {True,False}
@attribute nearestGhostLeft {True,False}
@attribute nearestGhostRight {True,False}
@attribute angleClosestGhost {'\'(-inf-17]\'','\'(17-166.5]\'','\'(166.5-273.5]\'','\'(273.5-inf)\''}
@attribute hasWallEast {True,False}
@attribute hasWallSouth {True,False}
@attribute hasWallWest {True,False}
@attribute hasWallNorth {True,False}
@attribute movement {Stop,South,East,West,North}

@data
False,True,False,True,'\'(273.5-inf)\'',True,False,False,True,Stop
False,True,False,True,'\'(273.5-inf)\'',True,False,False,True,Stop
False,True,False,True,'\'(273.5-inf)\'',True,False,True,False,South
False,True,False,True,'\'(273.5-inf)\'',True,False,False,False,South
False,True,False,True,'\'(273.5-inf)\'',True,False,False,False,South
False,True,False,True,'\'(273.5-inf)\'',True,False,False,False,South
False,True,False,True,'\'(273.5-inf)\'',True,False,True,False,South
False,True,False,True,'\'(273.5-inf)\'',True,False,False,False,South
False,True,False,True,'\'(273.5-inf)\'',True,False,True,False,South
False,True,False,True,'\'(273.5-inf)\'',True,False,True,False,South
False,False,False,True,'\'(-inf-17]\'',True,False,True,False,South
True,False,False,True,'\'(-inf-17]\'',True,False,True,False,South
True,False,False,True,'\'(17-166.5]\'',True,False,True,False,South
True,False,False,True,'\'(17-166.5]\'',True,False,False,False,South
True,False,False,True,'\'(17-166.5]\'',False,False,False,True,East
True,False,False,True,'\'(17-166.5]\'',False,False,False,False,East
True,False,False,True,'\'(17-166.5]\'',False,False,False,False,East
True,False,False,False,'\'(17-166.5]\'',False,False,False,False,East
True,False,False,False,'\'(17-166.5]\'',False,False,False,False,North
True,False,False,False,'\'(17-166.5]\'',False,False,False,False,North
False,True,False,True,'\'(273.5-inf)\'',False,False,False,False,North
False,True,False,True,'\'(273.5-inf)\'',False,False,False,False,South
False,True,False,True,'\'(273.5-inf)\'',False,False,False,False,South
False,True,False,True,'\'(273.5-inf)\'',False,False,False,False,South
False,True,False,True,'\'(273.5-inf)\'',False,False,True,False,South
False,True,False,True,'\'(273.5-inf)\'',False,False,True,False,South
False,False,False,True,'\'(-inf-17]\'',False,True,False,False,South
False,False,False,True,'\'(-inf-17]\'',False,True,False,True,East
False,False,False,True,'\'(-inf-17]\'',False,True,False,True,East
False,False,False,True,'\'(-inf-17]\'',False,True,False,False,East
False,False,False,True,'\'(-inf-17]\'',False,True,False,False,East
False,False,False,True,'\'(-inf-17]\'',False,True,False,False,East
True,False,False,True,'\'(17-166.5]\'',False,True,True,False,East
True,False,False,True,'\'(17-166.5]\'',False,False,True,False,North
True,False,False,True,'\'(-inf-17]\'',False,False,True,False,North
False,False,False,True,'\'(-inf-17]\'',False,False,True,False,North
False,True,False,True,'\'(273.5-inf)\'',False,False,True,False,North
False,True,False,True,'\'(273.5-inf)\'',False,False,True,False,North
False,True,False,True,'\'(273.5-inf)\'',False,False,True,False,North
False,True,False,True,'\'(273.5-inf)\'',False,False,True,False,North
False,True,False,True,'\'(273.5-inf)\'',False,False,True,False,North
False,True,False,True,'\'(273.5-inf)\'',False,False,False,True,North
False,True,False,True,'\'(273.5-inf)\'',False,True,False,True,East
False,True,False,True,'\'(273.5-inf)\'',False,False,False,True,East
False,True,False,True,'\'(273.5-inf)\'',True,False,False,False,South
False,True,False,True,'\'(273.5-inf)\'',True,False,False,False,South
False,True,False,True,'\'(273.5-inf)\'',True,False,False,False,South
False,True,False,True,'\'(273.5-inf)\'',True,False,False,False,South
False,True,False,True,'\'(273.5-inf)\'',True,False,False,False,South
False,True,False,True,'\'(273.5-inf)\'',False,False,True,False,East
False,True,False,True,'\'(273.5-inf)\'',False,False,True,False,Stop
False,False,False,True,'\'(-inf-17]\'',False,False,False,False,South
False,False,False,True,'\'(-inf-17]\'',False,True,False,True,East
False,False,False,True,'\'(-inf-17]\'',False,True,False,True,East
True,False,False,True,'\'(17-166.5]\'',False,False,False,True,East
True,False,False,True,'\'(17-166.5]\'',False,False,False,True,East
True,False,False,True,'\'(17-166.5]\'',False,False,False,True,East
True,False,False,True,'\'(17-166.5]\'',False,False,False,True,East
True,False,False,True,'\'(17-166.5]\'',False,True,False,True,East
True,False,False,True,'\'(17-166.5]\'',False,True,False,True,East
True,False,False,True,'\'(17-166.5]\'',False,False,False,False,East
True,False,False,True,'\'(17-166.5]\'',True,False,False,False,North
True,False,False,True,'\'(17-166.5]\'',False,False,False,False,North
True,False,False,True,'\'(17-166.5]\'',True,False,False,False,North
True,False,False,True,'\'(17-166.5]\'',False,False,False,False,North
True,False,False,True,'\'(17-166.5]\'',False,True,False,False,West
True,False,False,True,'\'(17-166.5]\'',False,True,False,True,West
True,False,False,True,'\'(17-166.5]\'',False,True,False,False,West
True,False,False,True,'\'(17-166.5]\'',False,False,True,False,North
True,False,False,True,'\'(-inf-17]\'',False,False,True,False,North
False,False,False,True,'\'(-inf-17]\'',False,False,True,False,North
False,True,False,True,'\'(273.5-inf)\'',False,False,True,False,North
False,True,False,True,'\'(273.5-inf)\'',True,False,False,False,North
False,True,False,True,'\'(273.5-inf)\'',False,True,False,False,East
False,True,False,True,'\'(273.5-inf)\'',False,False,False,False,East
False,True,False,True,'\'(273.5-inf)\'',False,False,False,False,East
False,True,False,True,'\'(273.5-inf)\'',False,False,False,False,East
False,True,False,False,'\'(166.5-273.5]\'',False,False,True,False,East
False,True,False,False,'\'(166.5-273.5]\'',False,False,True,False,South
False,True,True,False,'\'(166.5-273.5]\'',True,True,True,False,South
False,True,True,False,'\'(166.5-273.5]\'',True,True,True,False,South
